input_dim,num_heads,ffn_dim,num_layers,depthwise_conv_kernel_size,dropout,use_group_norm,convolution_first,lr,gen_path,dis_path,device,batch_size,clip_value,data_len,epochs,early_stop,train_loss,loss_ratio
722,2,512,8,7,0.4,True,True,0.01,data/models/gen.pth,data/models/dis.pth,cuda,128,1,8,10,5,0.0021886894469723677,1.054076055649763
722,2,128,8,5,0.1,True,False,0.01,data/models/gen.pth,data/models/dis.pth,cuda,128,1,32,10,5,0.0027665567953294268,1.000619132616194
722,2,128,8,5,0.3,True,True,0.01,data/models/gen.pth,data/models/dis.pth,cuda,128,1,32,10,5,0.002765796059138549,1.0003938618520014
722,2,64,4,3,0.0,True,True,0.01,data/models/gen.pth,data/models/dis.pth,cuda,128,1,16,10,5,0.0027663147994897333,1.0003819819785924
722,1,512,8,5,0.2,False,True,0.01,data/models/gen.pth,data/models/dis.pth,cuda,128,1,16,10,5,0.002765519672427505,1.000343766979287
722,1,256,4,3,0.1,True,True,0.01,data/models/gen.pth,data/models/dis.pth,cuda,128,1,16,10,5,0.0027663148024652047,1.0003321188369174
722,1,256,8,3,0.0,True,False,0.01,data/models/gen.pth,data/models/dis.pth,cuda,128,1,32,10,5,0.0027688384735242676,1.000197742738088
722,1,256,4,5,0.1,True,True,0.01,data/models/gen.pth,data/models/dis.pth,cuda,128,1,16,10,5,0.002765899952188634,1.0001821035387481
722,2,128,2,3,0.3,True,True,0.0001,data/models/gen.pth,data/models/dis.pth,cuda,128,1,32,10,5,0.0013831151735272627,1.0000659199744537
722,2,256,2,3,0.4,True,True,0.0001,data/models/gen.pth,data/models/dis.pth,cuda,128,1,32,10,5,0.0013831331853579266,1.0000616850464648
722,1,64,2,5,0.3,True,False,0.0001,data/models/gen.pth,data/models/dis.pth,cuda,128,1,4,10,5,0.0013831326190885096,1.0000581025857513
722,1,512,4,7,0.4,True,False,0.01,data/models/gen.pth,data/models/dis.pth,cuda,128,1,8,10,5,0.002765415958649577,1.0000569337718686
722,2,512,2,3,0.4,True,False,0.0001,data/models/gen.pth,data/models/dis.pth,cuda,128,1,32,10,5,0.0013831297462707916,1.0000560811888801
722,2,256,8,7,0.4,True,True,0.0001,data/models/gen.pth,data/models/dis.pth,cuda,128,1,8,10,5,0.0013831332156705423,1.00005572873747
722,1,512,4,3,0.4,True,False,0.0001,data/models/gen.pth,data/models/dis.pth,cuda,128,1,4,10,5,0.0013831272139585913,1.0000545477992453
722,2,256,8,5,0.4,True,True,0.0001,data/models/gen.pth,data/models/dis.pth,cuda,128,1,16,10,5,0.0013831340644237832,1.0000523008523685
722,1,256,8,7,0.3,False,False,0.0001,data/models/gen.pth,data/models/dis.pth,cuda,128,1,32,10,5,0.00138310870950143,1.0000502744904511
722,2,512,8,7,0.3,False,True,0.0001,data/models/gen.pth,data/models/dis.pth,cuda,128,1,16,10,5,0.0013831110835557405,1.0000430393059883
722,1,512,4,7,0.3,False,True,0.0001,data/models/gen.pth,data/models/dis.pth,cuda,128,1,16,10,5,0.0013831029004512576,1.0000407898993433
722,2,64,2,3,0.1,True,True,0.0001,data/models/gen.pth,data/models/dis.pth,cuda,128,1,32,10,5,0.001383069484046818,1.0000402155636205
